env,mode,n_seeds,return_mean,return_std,return_min,return_max,mean_kl
HalfCheetah-v5,clip,3,1370.2,30.7,1345.4,1413.5,0.0148
HalfCheetah-v5,noclip,3,72.5,387.5,-263.2,615.5,16.9593
HalfCheetah-v5,kl,3,1270.2,59.1,1221.2,1353.3,0.011
Hopper-v5,clip,3,2360.3,377.2,2034.0,2889.0,0.0095
Hopper-v5,noclip,3,330.1,228.1,30.2,582.8,14.6391
Hopper-v5,kl,3,2315.8,132.4,2176.7,2493.8,0.0122
InvertedDoublePendulum-v5,clip,3,6833.9,405.4,6380.5,7364.5,0.0083
InvertedDoublePendulum-v5,noclip,3,252.3,33.7,205.6,284.0,20.6711
InvertedDoublePendulum-v5,kl,3,6722.5,353.1,6269.2,7130.6,0.0142
InvertedPendulum-v5,clip,3,957.6,60.0,872.8,1000.0,0.0048
InvertedPendulum-v5,noclip,3,363.2,450.3,40.6,1000.0,12.2365
InvertedPendulum-v5,kl,3,926.5,76.9,818.6,992.3,0.0165
Reacher-v5,clip,3,-5.6,0.4,-6.1,-5.2,0.0122
Reacher-v5,noclip,3,-22.9,6.5,-28.8,-13.8,8.1846
Reacher-v5,kl,3,-5.4,0.6,-6.2,-4.9,0.0122
Swimmer-v5,clip,3,109.7,11.5,94.0,121.5,0.0081
Swimmer-v5,noclip,3,33.1,32.2,-8.7,69.8,29.9212
Swimmer-v5,kl,3,117.5,19.0,101.3,144.2,0.0139
Walker2d-v5,clip,3,3631.7,863.0,2430.3,4418.0,0.0138
Walker2d-v5,noclip,3,361.4,145.0,188.6,543.3,8.8561
Walker2d-v5,kl,3,1889.3,569.2,1332.5,2671.1,0.0118
