global_step,metric,value
5,episodic_return,4.0
5,episodic_length,5.0
14,episodic_return,7.0
14,episodic_length,8.0
29,episodic_return,13.0
29,episodic_length,14.0
38,episodic_return,7.0
38,episodic_length,8.0
43,episodic_return,3.0
43,episodic_length,4.0
48,episodic_return,3.0
48,episodic_length,4.0
59,episodic_return,9.0
59,episodic_length,10.0
75,episodic_return,14.0
75,episodic_length,15.0
81,episodic_return,4.0
81,episodic_length,5.0
88,episodic_return,5.0
88,episodic_length,6.0
93,episodic_return,3.0
93,episodic_length,4.0
104,episodic_return,9.0
104,episodic_length,10.0
112,episodic_return,6.0
112,episodic_length,7.0
119,episodic_return,5.0
119,episodic_length,6.0
124,episodic_return,3.0
124,episodic_length,4.0
128,episodic_return,2.0
128,episodic_length,3.0
136,episodic_return,6.0
136,episodic_length,7.0
141,episodic_return,3.0
141,episodic_length,4.0
163,episodic_return,20.0
163,episodic_length,21.0
170,episodic_return,5.0
170,episodic_length,6.0
178,episodic_return,6.0
178,episodic_length,7.0
182,episodic_return,2.0
182,episodic_length,3.0
193,episodic_return,9.0
193,episodic_length,10.0
199,episodic_return,4.0
199,episodic_length,5.0
208,episodic_return,7.0
208,episodic_length,8.0
217,episodic_return,7.0
217,episodic_length,8.0
229,episodic_return,10.0
229,episodic_length,11.0
244,episodic_return,13.0
244,episodic_length,14.0
249,episodic_return,3.0
249,episodic_length,4.0
260,episodic_return,9.0
260,episodic_length,10.0
268,episodic_return,6.0
268,episodic_length,7.0
281,episodic_return,11.0
281,episodic_length,12.0
286,episodic_return,3.0
286,episodic_length,4.0
308,episodic_return,20.0
308,episodic_length,21.0
314,episodic_return,4.0
314,episodic_length,5.0
325,episodic_return,9.0
325,episodic_length,10.0
337,episodic_return,10.0
337,episodic_length,11.0
356,episodic_return,17.0
356,episodic_length,18.0
363,episodic_return,5.0
363,episodic_length,6.0
378,episodic_return,13.0
378,episodic_length,14.0
384,episodic_return,4.0
384,episodic_length,5.0
401,episodic_return,15.0
401,episodic_length,16.0
416,episodic_return,13.0
416,episodic_length,14.0
421,episodic_return,3.0
421,episodic_length,4.0
426,episodic_return,3.0
426,episodic_length,4.0
440,episodic_return,12.0
440,episodic_length,13.0
447,episodic_return,5.0
447,episodic_length,6.0
453,episodic_return,4.0
453,episodic_length,5.0
464,episodic_return,9.0
464,episodic_length,10.0
478,episodic_return,12.0
478,episodic_length,13.0
491,episodic_return,11.0
491,episodic_length,12.0
512,episodic_return,19.0
512,episodic_length,20.0
520,episodic_return,6.0
520,episodic_length,7.0
526,episodic_return,4.0
526,episodic_length,5.0
533,episodic_return,5.0
533,episodic_length,6.0
541,episodic_return,6.0
541,episodic_length,7.0
549,episodic_return,6.0
549,episodic_length,7.0
559,episodic_return,8.0
559,episodic_length,9.0
565,episodic_return,4.0
565,episodic_length,5.0
573,episodic_return,6.0
573,episodic_length,7.0
579,episodic_return,4.0
579,episodic_length,5.0
586,episodic_return,5.0
586,episodic_length,6.0
593,episodic_return,5.0
593,episodic_length,6.0
599,episodic_return,4.0
599,episodic_length,5.0
605,episodic_return,4.0
605,episodic_length,5.0
611,episodic_return,4.0
611,episodic_length,5.0
628,episodic_return,15.0
628,episodic_length,16.0
646,episodic_return,16.0
646,episodic_length,17.0
654,episodic_return,6.0
654,episodic_length,7.0
674,episodic_return,18.0
674,episodic_length,19.0
680,episodic_return,4.0
680,episodic_length,5.0
694,episodic_return,12.0
694,episodic_length,13.0
702,episodic_return,6.0
702,episodic_length,7.0
709,episodic_return,5.0
709,episodic_length,6.0
724,episodic_return,13.0
724,episodic_length,14.0
736,episodic_return,10.0
736,episodic_length,11.0
744,episodic_return,6.0
744,episodic_length,7.0
753,episodic_return,7.0
753,episodic_length,8.0
762,episodic_return,7.0
762,episodic_length,8.0
771,episodic_return,7.0
771,episodic_length,8.0
775,episodic_return,2.0
775,episodic_length,3.0
786,episodic_return,9.0
786,episodic_length,10.0
792,episodic_return,4.0
792,episodic_length,5.0
798,episodic_return,4.0
798,episodic_length,5.0
804,episodic_return,4.0
804,episodic_length,5.0
810,episodic_return,4.0
810,episodic_length,5.0
817,episodic_return,5.0
817,episodic_length,6.0
838,episodic_return,19.0
838,episodic_length,20.0
849,episodic_return,9.0
849,episodic_length,10.0
855,episodic_return,4.0
855,episodic_length,5.0
873,episodic_return,16.0
873,episodic_length,17.0
879,episodic_return,4.0
879,episodic_length,5.0
892,episodic_return,11.0
892,episodic_length,12.0
897,episodic_return,3.0
897,episodic_length,4.0
904,episodic_return,5.0
904,episodic_length,6.0
915,episodic_return,9.0
915,episodic_length,10.0
922,episodic_return,5.0
922,episodic_length,6.0
932,episodic_return,8.0
932,episodic_length,9.0
939,episodic_return,5.0
939,episodic_length,6.0
952,episodic_return,11.0
952,episodic_length,12.0
961,episodic_return,7.0
961,episodic_length,8.0
966,episodic_return,3.0
966,episodic_length,4.0
973,episodic_return,5.0
973,episodic_length,6.0
978,episodic_return,3.0
978,episodic_length,4.0
984,episodic_return,4.0
984,episodic_length,5.0
992,episodic_return,6.0
992,episodic_length,7.0
999,episodic_return,5.0
999,episodic_length,6.0
1007,episodic_return,6.0
1007,episodic_length,7.0
1020,episodic_return,11.0
1020,episodic_length,12.0
1029,episodic_return,7.0
1029,episodic_length,8.0
1033,episodic_return,2.0
1033,episodic_length,3.0
1040,episodic_return,5.0
1040,episodic_length,6.0
1048,episodic_return,6.0
1048,episodic_length,7.0
1059,episodic_return,9.0
1059,episodic_length,10.0
1066,episodic_return,5.0
1066,episodic_length,6.0
1077,episodic_return,9.0
1077,episodic_length,10.0
1084,episodic_return,5.0
1084,episodic_length,6.0
1089,episodic_return,3.0
1089,episodic_length,4.0
1095,episodic_return,4.0
1095,episodic_length,5.0
1103,episodic_return,6.0
1103,episodic_length,7.0
1110,episodic_return,5.0
1110,episodic_length,6.0
1117,episodic_return,5.0
1117,episodic_length,6.0
1125,episodic_return,6.0
1125,episodic_length,7.0
1131,episodic_return,4.0
1131,episodic_length,5.0
1153,episodic_return,20.0
1153,episodic_length,21.0
1164,episodic_return,9.0
1164,episodic_length,10.0
1173,episodic_return,7.0
1173,episodic_length,8.0
1195,episodic_return,20.0
1195,episodic_length,21.0
1201,episodic_return,4.0
1201,episodic_length,5.0
1211,episodic_return,8.0
1211,episodic_length,9.0
1217,episodic_return,4.0
1217,episodic_length,5.0
1225,episodic_return,6.0
1225,episodic_length,7.0
1233,episodic_return,6.0
1233,episodic_length,7.0
1240,episodic_return,5.0
1240,episodic_length,6.0
1246,episodic_return,4.0
1246,episodic_length,5.0
1257,episodic_return,9.0
1257,episodic_length,10.0
1264,episodic_return,5.0
1264,episodic_length,6.0
1270,episodic_return,4.0
1270,episodic_length,5.0
1276,episodic_return,4.0
1276,episodic_length,5.0
1287,episodic_return,9.0
1287,episodic_length,10.0
1292,episodic_return,3.0
1292,episodic_length,4.0
1299,episodic_return,5.0
1299,episodic_length,6.0
1304,episodic_return,3.0
1304,episodic_length,4.0
1312,episodic_return,6.0
1312,episodic_length,7.0
1320,episodic_return,6.0
1320,episodic_length,7.0
1327,episodic_return,5.0
1327,episodic_length,6.0
1337,episodic_return,8.0
1337,episodic_length,9.0
1345,episodic_return,6.0
1345,episodic_length,7.0
1351,episodic_return,4.0
1351,episodic_length,5.0
1356,episodic_return,3.0
1356,episodic_length,4.0
1373,episodic_return,15.0
1373,episodic_length,16.0
1381,episodic_return,6.0
1381,episodic_length,7.0
1403,episodic_return,20.0
1403,episodic_length,21.0
1408,episodic_return,3.0
1408,episodic_length,4.0
1426,episodic_return,16.0
1426,episodic_length,17.0
1434,episodic_return,6.0
1434,episodic_length,7.0
1439,episodic_return,3.0
1439,episodic_length,4.0
1445,episodic_return,4.0
1445,episodic_length,5.0
1451,episodic_return,4.0
1451,episodic_length,5.0
1465,episodic_return,12.0
1465,episodic_length,13.0
1471,episodic_return,4.0
1471,episodic_length,5.0
1488,episodic_return,15.0
1488,episodic_length,16.0
1498,episodic_return,8.0
1498,episodic_length,9.0
1505,episodic_return,5.0
1505,episodic_length,6.0
1511,episodic_return,4.0
1511,episodic_length,5.0
1516,episodic_return,3.0
1516,episodic_length,4.0
1530,episodic_return,12.0
1530,episodic_length,13.0
1543,episodic_return,11.0
1543,episodic_length,12.0
1550,episodic_return,5.0
1550,episodic_length,6.0
1555,episodic_return,3.0
1555,episodic_length,4.0
1563,episodic_return,6.0
1563,episodic_length,7.0
1573,episodic_return,8.0
1573,episodic_length,9.0
1584,episodic_return,9.0
