global_step,metric,value
1000,episodic_return,-357.26982107809687
1000,episodic_length,1000.0
2001,episodic_return,-319.6215545258403
2001,episodic_length,1000.0
2048,value_loss,0.2007889449596405
2048,policy_loss,-0.12391963601112366
2048,approx_kl,0.1755131483078003
2048,clipfrac,0.350146484375
2048,explained_variance,-0.8526695966720581
2048,sps,512.0
3002,episodic_return,-380.191098481071
3002,episodic_length,1000.0
4003,episodic_return,-318.62184217027465
4003,episodic_length,1000.0
4096,value_loss,0.11887157708406448
4096,policy_loss,-0.21053475141525269
4096,approx_kl,0.5755757689476013
4096,clipfrac,0.488720703125
4096,explained_variance,-0.7505871057510376
4096,sps,546.0
5004,episodic_return,-353.4188915867084
5004,episodic_length,1000.0
6005,episodic_return,-248.27370603898854
6005,episodic_length,1000.0
6144,value_loss,0.12592190504074097
6144,policy_loss,-0.2840718626976013
6144,approx_kl,0.5999850630760193
6144,clipfrac,0.52734375
6144,explained_variance,-0.03248262405395508
6144,sps,564.0
7006,episodic_return,-154.9069604791111
7006,episodic_length,1000.0
8007,episodic_return,-286.68847569738256
8007,episodic_length,1000.0
8192,value_loss,0.06075451150536537
8192,policy_loss,-0.1552533507347107
8192,approx_kl,0.8983426094055176
8192,clipfrac,0.6349609375
8192,explained_variance,-0.3853369951248169
8192,sps,574.0
9008,episodic_return,-345.6001729668198
9008,episodic_length,1000.0
10009,episodic_return,-344.80441216596193
10009,episodic_length,1000.0
10240,value_loss,0.029007382690906525
10240,policy_loss,-0.16452127695083618
10240,approx_kl,0.7612385749816895
10240,clipfrac,0.642236328125
10240,explained_variance,0.09437745809555054
10240,sps,581.0
11010,episodic_return,-371.875838021934
11010,episodic_length,1000.0
12011,episodic_return,-448.22229863741273
12011,episodic_length,1000.0
12288,value_loss,0.042049258947372437
12288,policy_loss,-1.0013686418533325
12288,approx_kl,1.0156937837600708
12288,clipfrac,0.616748046875
12288,explained_variance,-0.44912636280059814
12288,sps,580.0
13012,episodic_return,-435.03265269057437
13012,episodic_length,1000.0
14013,episodic_return,-335.2906903041868
14013,episodic_length,1000.0
14336,value_loss,0.02663598768413067
14336,policy_loss,-0.005375362932682037
14336,approx_kl,0.2966398596763611
14336,clipfrac,0.588671875
14336,explained_variance,0.11886411905288696
14336,sps,585.0
15014,episodic_return,-279.81711642468105
15014,episodic_length,1000.0
16015,episodic_return,-414.6899301681714
16015,episodic_length,1000.0
16384,value_loss,0.03849473595619202
16384,policy_loss,-0.12191714346408844
16384,approx_kl,0.7720277309417725
16384,clipfrac,0.687353515625
16384,explained_variance,0.2092043161392212
16384,sps,587.0
17016,episodic_return,-312.10603076411775
17016,episodic_length,1000.0
18017,episodic_return,-342.8241622491128
18017,episodic_length,1000.0
18432,value_loss,0.040933962911367416
18432,policy_loss,-0.6953260898590088
18432,approx_kl,0.9047089219093323
18432,clipfrac,0.6421875
18432,explained_variance,-0.03153395652770996
18432,sps,585.0
19018,episodic_return,-382.8023464099656
19018,episodic_length,1000.0
20019,episodic_return,-305.5818971548542
20019,episodic_length,1000.0
20480,value_loss,0.1123829334974289
20480,policy_loss,-0.44435080885887146
20480,approx_kl,1.0699539184570312
20480,clipfrac,0.65625
20480,explained_variance,0.2001262903213501
20480,sps,586.0
21020,episodic_return,-483.4723975178293
21020,episodic_length,1000.0
22021,episodic_return,-414.18509695652017
22021,episodic_length,1000.0
