global_step,metric,value
21,episodic_return,21.87003716149216
21,episodic_length,21.0
50,episodic_return,31.954836523895718
50,episodic_length,28.0
72,episodic_return,23.003186981657446
72,episodic_length,21.0
82,episodic_return,2.924855410320595
82,episodic_length,9.0
101,episodic_return,12.829187140102214
101,episodic_length,18.0
115,episodic_return,8.424722469785936
115,episodic_length,13.0
125,episodic_return,5.964409294738129
125,episodic_length,9.0
135,episodic_return,6.4719265840903715
135,episodic_length,9.0
155,episodic_return,20.4427184258022
155,episodic_length,19.0
175,episodic_return,11.196248954452106
175,episodic_length,19.0
194,episodic_return,11.128604231027811
194,episodic_length,18.0
241,episodic_return,47.28337836690845
241,episodic_length,46.0
256,episodic_return,7.551998237188354
256,episodic_length,14.0
265,episodic_return,5.432621829411368
265,episodic_length,8.0
282,episodic_return,9.051835991492835
282,episodic_length,16.0
308,episodic_return,8.877889054827945
308,episodic_length,25.0
323,episodic_return,5.869513068271509
323,episodic_length,14.0
344,episodic_return,15.693280366832198
344,episodic_length,20.0
358,episodic_return,7.6329678690038225
358,episodic_length,13.0
374,episodic_return,11.697124275717899
374,episodic_length,15.0
386,episodic_return,6.379499794765728
386,episodic_length,11.0
434,episodic_return,73.08724483786492
434,episodic_length,47.0
444,episodic_return,5.105163628975145
444,episodic_length,9.0
457,episodic_return,7.349443517656553
457,episodic_length,12.0
478,episodic_return,20.55928309015544
478,episodic_length,20.0
494,episodic_return,12.074116083951878
494,episodic_length,15.0
511,episodic_return,16.089327908742654
511,episodic_length,16.0
526,episodic_return,4.054444517563494
526,episodic_length,14.0
540,episodic_return,10.906997788141185
540,episodic_length,13.0
566,episodic_return,14.044744598051388
566,episodic_length,25.0
581,episodic_return,8.458659293500478
581,episodic_length,14.0
601,episodic_return,19.63310603912617
601,episodic_length,19.0
677,episodic_return,115.02132550999548
677,episodic_length,75.0
691,episodic_return,11.737214154868019
691,episodic_length,13.0
705,episodic_return,9.938967429532537
705,episodic_length,13.0
726,episodic_return,9.385948950672026
726,episodic_length,20.0
745,episodic_return,17.627298808609577
745,episodic_length,18.0
778,episodic_return,27.732294997447553
778,episodic_length,32.0
820,episodic_return,31.228742767917378
820,episodic_length,41.0
848,episodic_return,14.192584166537038
848,episodic_length,27.0
868,episodic_return,9.482313201187042
868,episodic_length,19.0
890,episodic_return,22.814883440170192
890,episodic_length,21.0
906,episodic_return,13.335108004382278
906,episodic_length,15.0
921,episodic_return,8.861741570429974
921,episodic_length,14.0
968,episodic_return,76.58709394058613
968,episodic_length,46.0
985,episodic_return,10.406630712830225
985,episodic_length,16.0
998,episodic_return,8.21390678986459
998,episodic_length,12.0
1016,episodic_return,7.810063113306899
1016,episodic_length,17.0
1036,episodic_return,11.983773317803411
1036,episodic_length,19.0
1061,episodic_return,16.0253196495283
1061,episodic_length,24.0
1076,episodic_return,11.744322330239706
1076,episodic_length,14.0
1096,episodic_return,16.762099177735312
1096,episodic_length,19.0
1107,episodic_return,7.076927584742222
1107,episodic_length,10.0
1116,episodic_return,5.031434955606452
1116,episodic_length,8.0
1131,episodic_return,11.382591727812441
1131,episodic_length,14.0
1145,episodic_return,8.613346206618681
1145,episodic_length,13.0
1161,episodic_return,8.569457662307629
1161,episodic_length,15.0
1195,episodic_return,20.806336615929347
1195,episodic_length,33.0
1213,episodic_return,12.117073393407559
1213,episodic_length,17.0
1233,episodic_return,17.246548695943357
1233,episodic_length,19.0
1248,episodic_return,7.00412548791113
1248,episodic_length,14.0
1266,episodic_return,11.822636087354772
1266,episodic_length,17.0
1281,episodic_return,11.713534436258813
1281,episodic_length,14.0
1305,episodic_return,12.87073534384825
1305,episodic_length,23.0
1316,episodic_return,5.622203912267198
1316,episodic_length,10.0
1332,episodic_return,7.159409375710836
1332,episodic_length,15.0
1358,episodic_return,24.15397385702755
1358,episodic_length,25.0
1371,episodic_return,9.726916823808025
1371,episodic_length,12.0
1396,episodic_return,14.254755105337722
1396,episodic_length,24.0
1418,episodic_return,8.215765176380774
1418,episodic_length,21.0
1438,episodic_return,16.35077114110657
1438,episodic_length,19.0
1468,episodic_return,22.208635088462515
1468,episodic_length,29.0
1481,episodic_return,8.97598659796178
1481,episodic_length,12.0
1500,episodic_return,12.566361702764832
1500,episodic_length,18.0
1522,episodic_return,15.76820245523235
1522,episodic_length,21.0
1538,episodic_return,9.487991704585793
1538,episodic_length,15.0
1548,episodic_return,4.499157768939808
1548,episodic_length,9.0
1573,episodic_return,20.836191025350697
1573,episodic_length,24.0
1588,episodic_return,7.67181325564079
1588,episodic_length,14.0
1599,episodic_return,5.582789489348452
1599,episodic_length,10.0
1624,episodic_return,28.487443667775693
1624,episodic_length,24.0
1641,episodic_return,11.700826572787502
1641,episodic_length,16.0
1661,episodic_return,9.244805867553533
1661,episodic_length,19.0
1699,episodic_return,38.605840346238004
1699,episodic_length,37.0
1713,episodic_return,5.650578342915997
1713,episodic_length,13.0
1735,episodic_return,10.890557983341404
1735,episodic_length,21.0
1746,episodic_return,7.63133742469727
1746,episodic_length,10.0
1775,episodic_return,14.065953011579749
1775,episodic_length,28.0
1797,episodic_return,12.550493357070687
1797,episodic_length,21.0
1822,episodic_return,24.15365303288331
1822,episodic_length,24.0
1833,episodic_return,5.676029728684331
1833,episodic_length,10.0
1845,episodic_return,7.9217062735355865
1845,episodic_length,11.0
1865,episodic_return,9.309487075260645
1865,episodic_length,19.0
1881,episodic_return,7.095569259498594
1881,episodic_length,15.0
1895,episodic_return,6.444991348415193
1895,episodic_length,13.0
1916,episodic_return,10.729849938256272
1916,episodic_length,20.0
1935,episodic_return,8.363826237476731
