global_step,metric,value
16,episodic_return,7.013476978041262
16,episodic_length,16.0
31,episodic_return,8.067812861178236
31,episodic_length,14.0
49,episodic_return,16.110198686312515
49,episodic_length,17.0
75,episodic_return,21.58248251507069
75,episodic_length,25.0
85,episodic_return,6.075191738774164
85,episodic_length,9.0
108,episodic_return,9.80544988151727
108,episodic_length,22.0
120,episodic_return,7.323119233952014
120,episodic_length,11.0
133,episodic_return,7.498029401398771
133,episodic_length,12.0
156,episodic_return,19.553759092719023
156,episodic_length,22.0
178,episodic_return,14.853642441629797
178,episodic_length,21.0
195,episodic_return,11.29750888871046
195,episodic_length,16.0
212,episodic_return,6.781535455884322
212,episodic_length,16.0
235,episodic_return,14.0235331293853
235,episodic_length,22.0
254,episodic_return,21.041298908127825
254,episodic_length,18.0
291,episodic_return,37.805882137306526
291,episodic_length,36.0
302,episodic_return,5.239399816626922
302,episodic_length,10.0
333,episodic_return,3.9914746719755927
333,episodic_length,30.0
348,episodic_return,3.955847361609789
348,episodic_length,14.0
368,episodic_return,17.05606551272998
368,episodic_length,19.0
377,episodic_return,3.8412083053291717
377,episodic_length,8.0
391,episodic_return,6.877357193816877
391,episodic_length,13.0
421,episodic_return,29.91954661639487
421,episodic_length,29.0
443,episodic_return,7.758505644845333
443,episodic_length,21.0
463,episodic_return,17.78063463287054
463,episodic_length,19.0
486,episodic_return,12.669550639970327
486,episodic_length,22.0
518,episodic_return,36.698139604944124
518,episodic_length,31.0
528,episodic_return,5.7441208563295865
528,episodic_length,9.0
551,episodic_return,6.599302629904745
551,episodic_length,22.0
568,episodic_return,14.879254548701322
568,episodic_length,16.0
594,episodic_return,2.612387135820774
594,episodic_length,25.0
611,episodic_return,12.925132057517693
611,episodic_length,16.0
626,episodic_return,7.222008128709484
626,episodic_length,14.0
638,episodic_return,6.794935118800734
638,episodic_length,11.0
656,episodic_return,10.174113164518852
656,episodic_length,17.0
666,episodic_return,4.753953569913468
666,episodic_length,9.0
681,episodic_return,7.502441676855843
681,episodic_length,14.0
726,episodic_return,60.76346375992033
726,episodic_length,44.0
752,episodic_return,27.00885061026915
752,episodic_length,25.0
767,episodic_return,9.040186778077729
767,episodic_length,14.0
807,episodic_return,61.33313740907099
807,episodic_length,39.0
817,episodic_return,6.0990599731628805
817,episodic_length,9.0
830,episodic_return,6.026468651362289
830,episodic_length,12.0
840,episodic_return,5.36554381415604
840,episodic_length,9.0
851,episodic_return,6.106396709085464
851,episodic_length,10.0
859,episodic_return,3.961648162551394
859,episodic_length,7.0
870,episodic_return,7.454167675500209
870,episodic_length,10.0
888,episodic_return,11.561950839608706
888,episodic_length,17.0
912,episodic_return,25.37661959175587
912,episodic_length,23.0
937,episodic_return,26.393081852557657
937,episodic_length,24.0
964,episodic_return,17.252490343397888
964,episodic_length,26.0
979,episodic_return,6.955690188000454
979,episodic_length,14.0
991,episodic_return,8.661593075284737
991,episodic_length,11.0
1030,episodic_return,31.47593743451575
1030,episodic_length,38.0
1065,episodic_return,26.249282856397823
1065,episodic_length,34.0
1099,episodic_return,18.548033652154924
1099,episodic_length,33.0
1114,episodic_return,6.188865576729274
1114,episodic_length,14.0
1127,episodic_return,10.345986065206008
1127,episodic_length,12.0
1140,episodic_return,8.070579764192656
1140,episodic_length,12.0
1171,episodic_return,22.43364105235774
1171,episodic_length,30.0
1193,episodic_return,5.554179818538234
1193,episodic_length,21.0
1214,episodic_return,19.005554535413346
1214,episodic_length,20.0
1237,episodic_return,20.745704288716396
1237,episodic_length,22.0
1260,episodic_return,16.77425785954126
1260,episodic_length,22.0
1276,episodic_return,7.164242427060495
1276,episodic_length,15.0
1308,episodic_return,11.237377993557025
1308,episodic_length,31.0
1323,episodic_return,7.6778542356328705
1323,episodic_length,14.0
1350,episodic_return,15.68518295592895
1350,episodic_length,26.0
1440,episodic_return,158.97615339866053
1440,episodic_length,89.0
1451,episodic_return,4.383042337057313
1451,episodic_length,10.0
1468,episodic_return,11.379005698696027
1468,episodic_length,16.0
1484,episodic_return,12.574135362423375
1484,episodic_length,15.0
1507,episodic_return,23.957392762677202
1507,episodic_length,22.0
1520,episodic_return,7.354209165825387
1520,episodic_length,12.0
1542,episodic_return,19.030813069947886
1542,episodic_length,21.0
1554,episodic_return,5.29140314029677
1554,episodic_length,11.0
1566,episodic_return,7.49641804064435
1566,episodic_length,11.0
1579,episodic_return,8.764024004606062
1579,episodic_length,12.0
1599,episodic_return,15.798120579324276
1599,episodic_length,19.0
1611,episodic_return,2.639076700437129
1611,episodic_length,11.0
1630,episodic_return,8.974089196851244
1630,episodic_length,18.0
1644,episodic_return,9.656822490475244
1644,episodic_length,13.0
1660,episodic_return,8.99267837014872
1660,episodic_length,15.0
1674,episodic_return,6.19478458742893
1674,episodic_length,13.0
1694,episodic_return,13.959393550732209
1694,episodic_length,19.0
1713,episodic_return,11.21910457430402
1713,episodic_length,18.0
1722,episodic_return,2.9633829878328615
1722,episodic_length,8.0
1749,episodic_return,1.9328618195405494
1749,episodic_length,26.0
1771,episodic_return,21.75451732603213
1771,episodic_length,21.0
1801,episodic_return,25.490828698337026
1801,episodic_length,29.0
1821,episodic_return,8.046632578848573
1821,episodic_length,19.0
1875,episodic_return,31.687896747233435
1875,episodic_length,53.0
1939,episodic_return,110.09458189017535
1939,episodic_length,63.0
1962,episodic_return,19.58219319477409
1962,episodic_length,22.0
1973,episodic_return,6.067673425653849
1973,episodic_length,10.0
1991,episodic_return,3.958868772770133
1991,episodic_length,17.0
2026,episodic_return,18.61243374542035
2026,episodic_length,34.0
2048,value_loss,0.977476954460144
2048,policy_loss,-0.15782341361045837
2048,approx_kl,0.451016366481781
2048,clipfrac,0.511083984375
2048,explained_variance,-0.1440643072128296
2048,sps,468.0
2049,episodic_return,14.808692564698864
2049,episodic_length,22.0
2078,episodic_return,45.4465199786971
2078,episodic_length,28.0
2119,episodic_return,61.03361941347865
2119,episodic_length,40.0
2140,episodic_return,17.376833585139845
2140,episodic_length,20.0
2168,episodic_return,44.828910551424855
2168,episodic_length,27.0
2196,episodic_return,44.47958279921046
2196,episodic_length,27.0
2221,episodic_return,40.39008139112906
2221,episodic_length,24.0
2232,episodic_return,7.7401205192212865
2232,episodic_length,10.0
2260,episodic_return,43.96279371156777
2260,episodic_length,27.0
2290,episodic_return,46.62695230426422
2290,episodic_length,29.0
2306,episodic_return,13.856466567191706
2306,episodic_length,15.0
2324,episodic_return,15.385912031718536
2324,episodic_length,17.0
2356,episodic_return,50.39212258460108
2356,episodic_length,31.0
2390,episodic_return,55.00749456057823
2390,episodic_length,33.0
2401,episodic_return,5.444395807019089
2401,episodic_length,10.0
2430,episodic_return,45.86938135733337
2430,episodic_length,28.0
2460,episodic_return,48.63716755051936
2460,episodic_length,29.0
2494,episodic_return,53.473906479337984
2494,episodic_length,33.0
2521,episodic_return,42.281503019615585
2521,episodic_length,26.0
2531,episodic_return,5.791485289033458
2531,episodic_length,9.0
2559,episodic_return,45.16736481149246
2559,episodic_length,27.0
2592,episodic_return,53.07437986912716
2592,episodic_length,32.0
2622,episodic_return,47.37648576298738
2622,episodic_length,29.0
2637,episodic_return,11.147295844809296
2637,episodic_length,14.0
2672,episodic_return,55.02908235185614
2672,episodic_length,34.0
2696,episodic_return,37.39477210341448
2696,episodic_length,23.0
2705,episodic_return,4.80178208639069
2705,episodic_length,8.0
2747,episodic_return,53.82589153360998
2747,episodic_length,41.0
2758,episodic_return,7.57847322540765
2758,episodic_length,10.0
2773,episodic_return,10.559921336593627
2773,episodic_length,14.0
2802,episodic_return,45.36235793312024
2802,episodic_length,28.0
2846,episodic_return,73.8594326183691
2846,episodic_length,43.0
2862,episodic_return,12.795542934867434
2862,episodic_length,15.0
2894,episodic_return,51.581536687787484
2894,episodic_length,31.0
2932,episodic_return,47.3644342911466
2932,episodic_length,37.0
2947,episodic_return,11.062580212446397
2947,episodic_length,14.0
2970,episodic_return,37.22222828714291
2970,episodic_length,22.0
2999,episodic_return,29.0222601643554
2999,episodic_length,28.0
3040,episodic_return,68.2138433084515
3040,episodic_length,40.0
