global_step,metric,value
8,episodic_return,62.88398792097614
8,episodic_length,8.0
12,episodic_return,16.956056195317178
12,episodic_length,3.0
17,episodic_return,26.020817618044408
17,episodic_length,4.0
21,episodic_return,16.82934065836987
21,episodic_length,3.0
26,episodic_return,25.79129630294578
26,episodic_length,4.0
33,episodic_return,44.78900433953218
33,episodic_length,6.0
39,episodic_return,35.21714279325348
39,episodic_length,5.0
46,episodic_return,44.39138907877872
46,episodic_length,6.0
55,episodic_return,63.544430496205536
55,episodic_length,8.0
64,episodic_return,63.28497777664718
64,episodic_length,8.0
72,episodic_return,53.92230162093036
72,episodic_length,7.0
82,episodic_return,72.24252354322708
82,episodic_length,9.0
90,episodic_return,53.686176806548715
90,episodic_length,7.0
96,episodic_return,34.657597213023706
96,episodic_length,5.0
101,episodic_return,26.04990792809606
101,episodic_length,4.0
110,episodic_return,63.27986809820013
110,episodic_length,8.0
115,episodic_return,25.901905456063048
115,episodic_length,4.0
120,episodic_return,25.992830616454572
120,episodic_length,4.0
127,episodic_return,44.353346417943705
127,episodic_length,6.0
132,episodic_return,25.554093709138385
132,episodic_length,4.0
138,episodic_return,34.78052991219179
138,episodic_length,5.0
144,episodic_return,35.07899116828706
144,episodic_length,5.0
149,episodic_return,25.823748511239792
149,episodic_length,4.0
157,episodic_return,53.78345449620115
157,episodic_length,7.0
162,episodic_return,26.05983453773178
162,episodic_length,4.0
167,episodic_return,26.028555459393107
167,episodic_length,4.0
178,episodic_return,81.89653343156645
178,episodic_length,10.0
184,episodic_return,34.83303316619015
184,episodic_length,5.0
191,episodic_return,44.73217633366681
191,episodic_length,6.0
196,episodic_return,26.090529794532895
196,episodic_length,4.0
202,episodic_return,34.92691628742445
202,episodic_length,5.0
211,episodic_return,62.50139754337901
211,episodic_length,8.0
224,episodic_return,100.39856614875993
224,episodic_length,12.0
229,episodic_return,25.792084926392178
229,episodic_length,4.0
236,episodic_return,44.477894770351895
236,episodic_length,6.0
245,episodic_return,62.651876606956655
245,episodic_length,8.0
254,episodic_return,63.37582492669035
254,episodic_length,8.0
264,episodic_return,72.2292951019091
264,episodic_length,9.0
268,episodic_return,16.912913703136535
268,episodic_length,3.0
277,episodic_return,62.48734836394087
277,episodic_length,8.0
285,episodic_return,53.75583941181267
285,episodic_length,7.0
292,episodic_return,44.34499469231529
292,episodic_length,6.0
298,episodic_return,35.332446984551865
298,episodic_length,5.0
305,episodic_return,44.463481442541635
305,episodic_length,6.0
311,episodic_return,34.62026107141912
311,episodic_length,5.0
321,episodic_return,72.22712789825275
321,episodic_length,9.0
328,episodic_return,44.16192313972061
328,episodic_length,6.0
335,episodic_return,44.428520154482406
335,episodic_length,6.0
344,episodic_return,63.57117875074741
344,episodic_length,8.0
350,episodic_return,34.89160930605455
350,episodic_length,5.0
355,episodic_return,26.096433571704818
355,episodic_length,4.0
362,episodic_return,44.89896376717814
362,episodic_length,6.0
367,episodic_return,26.144406345548013
367,episodic_length,4.0
375,episodic_return,53.68656104406182
375,episodic_length,7.0
383,episodic_return,54.145782893348986
383,episodic_length,7.0
390,episodic_return,44.36719437367536
390,episodic_length,6.0
396,episodic_return,35.07264897994688
396,episodic_length,5.0
403,episodic_return,44.409459546044644
403,episodic_length,6.0
410,episodic_return,44.317984639649104
410,episodic_length,6.0
421,episodic_return,81.02745968475232
421,episodic_length,10.0
430,episodic_return,63.22532243638208
430,episodic_length,8.0
436,episodic_return,35.22507020924064
436,episodic_length,5.0
444,episodic_return,54.01737813140238
444,episodic_length,7.0
449,episodic_return,25.6976845296998
449,episodic_length,4.0
454,episodic_return,25.462235048024827
454,episodic_length,4.0
458,episodic_return,16.892264723721173
458,episodic_length,3.0
466,episodic_return,54.0869177960801
466,episodic_length,7.0
474,episodic_return,54.00875069144808
474,episodic_length,7.0
479,episodic_return,25.67138628166834
479,episodic_length,4.0
485,episodic_return,34.71250390570004
485,episodic_length,5.0
490,episodic_return,26.008166529811458
490,episodic_length,4.0
497,episodic_return,44.14318826119542
497,episodic_length,6.0
505,episodic_return,53.59560948827087
505,episodic_length,7.0
511,episodic_return,35.433283639048994
511,episodic_length,5.0
517,episodic_return,35.31299886926105
517,episodic_length,5.0
522,episodic_return,25.633859746800592
522,episodic_length,4.0
529,episodic_return,44.16916054751406
529,episodic_length,6.0
535,episodic_return,35.49219021472325
535,episodic_length,5.0
540,episodic_return,25.593547344608385
540,episodic_length,4.0
546,episodic_return,35.00198513792925
546,episodic_length,5.0
552,episodic_return,35.522508226670126
552,episodic_length,5.0
558,episodic_return,34.99724456934567
558,episodic_length,5.0
566,episodic_return,54.008362486058886
566,episodic_length,7.0
571,episodic_return,25.627960000804908
571,episodic_length,4.0
