global_step,metric,value
6,episodic_return,5.0
6,episodic_length,6.0
19,episodic_return,11.0
19,episodic_length,12.0
29,episodic_return,8.0
29,episodic_length,9.0
55,episodic_return,24.0
55,episodic_length,25.0
60,episodic_return,3.0
60,episodic_length,4.0
67,episodic_return,5.0
67,episodic_length,6.0
77,episodic_return,8.0
77,episodic_length,9.0
86,episodic_return,7.0
86,episodic_length,8.0
99,episodic_return,11.0
99,episodic_length,12.0
117,episodic_return,16.0
117,episodic_length,17.0
122,episodic_return,3.0
122,episodic_length,4.0
133,episodic_return,9.0
133,episodic_length,10.0
147,episodic_return,12.0
147,episodic_length,13.0
172,episodic_return,23.0
172,episodic_length,24.0
189,episodic_return,15.0
189,episodic_length,16.0
195,episodic_return,4.0
195,episodic_length,5.0
225,episodic_return,28.0
225,episodic_length,29.0
235,episodic_return,8.0
235,episodic_length,9.0
239,episodic_return,2.0
239,episodic_length,3.0
245,episodic_return,4.0
245,episodic_length,5.0
252,episodic_return,5.0
252,episodic_length,6.0
261,episodic_return,7.0
261,episodic_length,8.0
269,episodic_return,6.0
269,episodic_length,7.0
278,episodic_return,7.0
278,episodic_length,8.0
283,episodic_return,3.0
283,episodic_length,4.0
293,episodic_return,8.0
293,episodic_length,9.0
307,episodic_return,12.0
307,episodic_length,13.0
312,episodic_return,3.0
312,episodic_length,4.0
318,episodic_return,4.0
318,episodic_length,5.0
328,episodic_return,8.0
328,episodic_length,9.0
335,episodic_return,5.0
335,episodic_length,6.0
342,episodic_return,5.0
342,episodic_length,6.0
348,episodic_return,4.0
348,episodic_length,5.0
355,episodic_return,5.0
355,episodic_length,6.0
361,episodic_return,4.0
361,episodic_length,5.0
374,episodic_return,11.0
374,episodic_length,12.0
386,episodic_return,10.0
386,episodic_length,11.0
392,episodic_return,4.0
392,episodic_length,5.0
402,episodic_return,8.0
402,episodic_length,9.0
410,episodic_return,6.0
410,episodic_length,7.0
419,episodic_return,7.0
419,episodic_length,8.0
428,episodic_return,7.0
428,episodic_length,8.0
434,episodic_return,4.0
434,episodic_length,5.0
439,episodic_return,3.0
439,episodic_length,4.0
445,episodic_return,4.0
445,episodic_length,5.0
459,episodic_return,12.0
459,episodic_length,13.0
463,episodic_return,2.0
463,episodic_length,3.0
474,episodic_return,9.0
474,episodic_length,10.0
479,episodic_return,3.0
