global_step,metric,value
6,episodic_return,5.0
6,episodic_length,6.0
13,episodic_return,5.0
13,episodic_length,6.0
22,episodic_return,7.0
22,episodic_length,8.0
31,episodic_return,7.0
31,episodic_length,8.0
41,episodic_return,8.0
41,episodic_length,9.0
49,episodic_return,6.0
49,episodic_length,7.0
74,episodic_return,23.0
74,episodic_length,24.0
84,episodic_return,8.0
84,episodic_length,9.0
93,episodic_return,7.0
93,episodic_length,8.0
114,episodic_return,19.0
114,episodic_length,20.0
119,episodic_return,3.0
119,episodic_length,4.0
128,episodic_return,7.0
128,episodic_length,8.0
135,episodic_return,5.0
135,episodic_length,6.0
140,episodic_return,3.0
140,episodic_length,4.0
145,episodic_return,3.0
145,episodic_length,4.0
155,episodic_return,8.0
155,episodic_length,9.0
164,episodic_return,7.0
164,episodic_length,8.0
176,episodic_return,10.0
176,episodic_length,11.0
181,episodic_return,3.0
181,episodic_length,4.0
188,episodic_return,5.0
188,episodic_length,6.0
195,episodic_return,5.0
195,episodic_length,6.0
208,episodic_return,11.0
208,episodic_length,12.0
214,episodic_return,4.0
214,episodic_length,5.0
227,episodic_return,11.0
227,episodic_length,12.0
236,episodic_return,7.0
236,episodic_length,8.0
244,episodic_return,6.0
244,episodic_length,7.0
252,episodic_return,6.0
252,episodic_length,7.0
259,episodic_return,5.0
259,episodic_length,6.0
266,episodic_return,5.0
266,episodic_length,6.0
271,episodic_return,3.0
271,episodic_length,4.0
278,episodic_return,5.0
278,episodic_length,6.0
286,episodic_return,6.0
286,episodic_length,7.0
293,episodic_return,5.0
293,episodic_length,6.0
302,episodic_return,7.0
302,episodic_length,8.0
307,episodic_return,3.0
307,episodic_length,4.0
332,episodic_return,23.0
332,episodic_length,24.0
338,episodic_return,4.0
338,episodic_length,5.0
353,episodic_return,13.0
353,episodic_length,14.0
361,episodic_return,6.0
361,episodic_length,7.0
366,episodic_return,3.0
366,episodic_length,4.0
380,episodic_return,12.0
380,episodic_length,13.0
385,episodic_return,3.0
385,episodic_length,4.0
394,episodic_return,7.0
394,episodic_length,8.0
398,episodic_return,2.0
398,episodic_length,3.0
403,episodic_return,3.0
403,episodic_length,4.0
418,episodic_return,13.0
418,episodic_length,14.0
426,episodic_return,6.0
426,episodic_length,7.0
436,episodic_return,8.0
436,episodic_length,9.0
442,episodic_return,4.0
