global_step,metric,value
50,episodic_return,-62.84887578343535
50,episodic_length,50.0
101,episodic_return,-56.31629523575738
101,episodic_length,50.0
152,episodic_return,-56.34500800240116
152,episodic_length,50.0
203,episodic_return,-62.23032077569314
203,episodic_length,50.0
254,episodic_return,-53.21194636664688
254,episodic_length,50.0
305,episodic_return,-63.95449615810433
305,episodic_length,50.0
356,episodic_return,-56.7759569033987
356,episodic_length,50.0
407,episodic_return,-58.628581730528786
407,episodic_length,50.0
458,episodic_return,-55.64411942112073
458,episodic_length,50.0
509,episodic_return,-72.37994134542501
509,episodic_length,50.0
560,episodic_return,-66.41310559302414
560,episodic_length,50.0
611,episodic_return,-52.9678265507007
611,episodic_length,50.0
662,episodic_return,-60.39365299832197
662,episodic_length,50.0
713,episodic_return,-55.717879031976665
713,episodic_length,50.0
764,episodic_return,-58.978551281047004
764,episodic_length,50.0
815,episodic_return,-64.01634888253236
815,episodic_length,50.0
866,episodic_return,-54.86005169437515
866,episodic_length,50.0
917,episodic_return,-58.931771268383734
917,episodic_length,50.0
968,episodic_return,-52.64969832361999
968,episodic_length,50.0
1019,episodic_return,-54.293157699976376
1019,episodic_length,50.0
1070,episodic_return,-59.5642297383269
1070,episodic_length,50.0
1121,episodic_return,-63.82536171718538
1121,episodic_length,50.0
1172,episodic_return,-58.28311887298534
1172,episodic_length,50.0
1223,episodic_return,-64.92766564668591
1223,episodic_length,50.0
1274,episodic_return,-59.65720826031486
1274,episodic_length,50.0
1325,episodic_return,-56.00025499060825
1325,episodic_length,50.0
1376,episodic_return,-61.26256815023828
1376,episodic_length,50.0
1427,episodic_return,-65.21646342671033
1427,episodic_length,50.0
1478,episodic_return,-64.88340257307043
1478,episodic_length,50.0
1529,episodic_return,-60.90707977723299
1529,episodic_length,50.0
1580,episodic_return,-60.12586509823797
1580,episodic_length,50.0
1631,episodic_return,-60.79920123747801
1631,episodic_length,50.0
1682,episodic_return,-56.00852336768068
1682,episodic_length,50.0
1733,episodic_return,-66.33118846804757
1733,episodic_length,50.0
1784,episodic_return,-54.220662266698284
1784,episodic_length,50.0
1835,episodic_return,-67.37640547172131
1835,episodic_length,50.0
1886,episodic_return,-68.26444235912808
1886,episodic_length,50.0
1937,episodic_return,-66.69430571128358
1937,episodic_length,50.0
1988,episodic_return,-53.11896507088578
1988,episodic_length,50.0
2039,episodic_return,-44.9185942315279
2039,episodic_length,50.0
2048,value_loss,0.2472125142812729
2048,policy_loss,-0.011693194508552551
2048,approx_kl,0.007255351170897484
2048,clipfrac,0.060400390625
2048,explained_variance,-0.37378060817718506
2048,sps,461.0
2090,episodic_return,-58.924780375162136
2090,episodic_length,50.0
2141,episodic_return,-63.1136968178899
2141,episodic_length,50.0
2192,episodic_return,-65.48344454338928
2192,episodic_length,50.0
2243,episodic_return,-57.594711166884856
2243,episodic_length,50.0
2294,episodic_return,-49.823046096993004
2294,episodic_length,50.0
2345,episodic_return,-49.0537680406103
2345,episodic_length,50.0
2396,episodic_return,-59.20175755940115
2396,episodic_length,50.0
2447,episodic_return,-56.60391586845745
2447,episodic_length,50.0
2498,episodic_return,-64.12163841633435
2498,episodic_length,50.0
2549,episodic_return,-54.76555962166384
2549,episodic_length,50.0
2600,episodic_return,-63.13255800434675
2600,episodic_length,50.0
2651,episodic_return,-60.7420459967643
2651,episodic_length,50.0
2702,episodic_return,-64.19779145863798
2702,episodic_length,50.0
2753,episodic_return,-56.405422517554086
2753,episodic_length,50.0
2804,episodic_return,-64.74307920232124
2804,episodic_length,50.0
2855,episodic_return,-56.57471157644572
2855,episodic_length,50.0
2906,episodic_return,-63.914178479994646
2906,episodic_length,50.0
2957,episodic_return,-62.19397693690464
2957,episodic_length,50.0
3008,episodic_return,-59.82715852163126
3008,episodic_length,50.0
3059,episodic_return,-59.191506271330475
3059,episodic_length,50.0
3110,episodic_return,-67.09655231341864
3110,episodic_length,50.0
3161,episodic_return,-62.646722118991434
3161,episodic_length,50.0
3212,episodic_return,-60.38926373604949
3212,episodic_length,50.0
3263,episodic_return,-64.03119390834738
3263,episodic_length,50.0
3314,episodic_return,-65.54331141044813
3314,episodic_length,50.0
3365,episodic_return,-64.27136726731423
3365,episodic_length,50.0
3416,episodic_return,-67.55804765413511
3416,episodic_length,50.0
3467,episodic_return,-51.054496038284626
3467,episodic_length,50.0
3518,episodic_return,-68.20544552722542
3518,episodic_length,50.0
3569,episodic_return,-66.2312157925524
3569,episodic_length,50.0
3620,episodic_return,-52.272301458807505
3620,episodic_length,50.0
3671,episodic_return,-53.10725617496565
3671,episodic_length,50.0
3722,episodic_return,-62.42640264619973
3722,episodic_length,50.0
3773,episodic_return,-52.58866753473544
3773,episodic_length,50.0
3824,episodic_return,-58.92812006099268
3824,episodic_length,50.0
3875,episodic_return,-61.33165762054109
3875,episodic_length,50.0
3926,episodic_return,-61.18831377073634
3926,episodic_length,50.0
3977,episodic_return,-58.62301854292799
3977,episodic_length,50.0
4028,episodic_return,-60.94598291683851
4028,episodic_length,50.0
4079,episodic_return,-63.839462593658254
4079,episodic_length,50.0
4096,value_loss,0.28628474473953247
4096,policy_loss,0.0012683942914009094
4096,approx_kl,0.012029518373310566
4096,clipfrac,0.0689453125
4096,explained_variance,-0.2556333541870117
4096,sps,515.0
4130,episodic_return,-58.39935727909281
4130,episodic_length,50.0
4181,episodic_return,-54.08527316254025
4181,episodic_length,50.0
4232,episodic_return,-58.107097563880345
4232,episodic_length,50.0
4283,episodic_return,-63.99205998285115
4283,episodic_length,50.0
4334,episodic_return,-59.369465704941334
4334,episodic_length,50.0
4385,episodic_return,-66.03478218325995
4385,episodic_length,50.0
4436,episodic_return,-62.223988416524925
4436,episodic_length,50.0
4487,episodic_return,-68.20911514806318
4487,episodic_length,50.0
4538,episodic_return,-53.13787023662079
4538,episodic_length,50.0
4589,episodic_return,-54.92194247720758
4589,episodic_length,50.0
4640,episodic_return,-60.912607046537765
4640,episodic_length,50.0
4691,episodic_return,-57.26166605622567
4691,episodic_length,50.0
4742,episodic_return,-60.21174889806308
4742,episodic_length,50.0
4793,episodic_return,-57.259164635838395
4793,episodic_length,50.0
4844,episodic_return,-61.990564725596606
4844,episodic_length,50.0
4895,episodic_return,-46.45240963810233
4895,episodic_length,50.0
4946,episodic_return,-59.445063478186135
4946,episodic_length,50.0
4997,episodic_return,-53.01643205133459
4997,episodic_length,50.0
5048,episodic_return,-67.74032787934698
5048,episodic_length,50.0
5099,episodic_return,-60.18455840221323
5099,episodic_length,50.0
5150,episodic_return,-59.030575001026946
5150,episodic_length,50.0
5201,episodic_return,-60.12243527034576
5201,episodic_length,50.0
5252,episodic_return,-57.55607791832285
5252,episodic_length,50.0
5303,episodic_return,-60.91686655211867
5303,episodic_length,50.0
5354,episodic_return,-56.57100243209205
5354,episodic_length,50.0
5405,episodic_return,-64.12734036513716
5405,episodic_length,50.0
5456,episodic_return,-60.99081989410645
5456,episodic_length,50.0
5507,episodic_return,-53.54465098142985
5507,episodic_length,50.0
5558,episodic_return,-50.42083007469843
5558,episodic_length,50.0
5609,episodic_return,-57.65516946501705
5609,episodic_length,50.0
5660,episodic_return,-61.13564334138083
5660,episodic_length,50.0
5711,episodic_return,-54.67550499054093
5711,episodic_length,50.0
5762,episodic_return,-52.95968304522799
5762,episodic_length,50.0
5813,episodic_return,-59.58328678026615
5813,episodic_length,50.0
5864,episodic_return,-63.194606360687196
5864,episodic_length,50.0
5915,episodic_return,-58.723999924372286
5915,episodic_length,50.0
5966,episodic_return,-55.29006352146269
5966,episodic_length,50.0
6017,episodic_return,-62.39561947466788
6017,episodic_length,50.0
6068,episodic_return,-65.16522483139357
6068,episodic_length,50.0
6119,episodic_return,-53.16107331977557
6119,episodic_length,50.0
6144,value_loss,0.34534573554992676
6144,policy_loss,-0.010869305580854416
6144,approx_kl,0.005962064489722252
6144,clipfrac,0.05556640625
6144,explained_variance,-0.0005894899368286133
6144,sps,537.0
6170,episodic_return,-56.5811354269566
6170,episodic_length,50.0
6221,episodic_return,-55.65073738807662
6221,episodic_length,50.0
6272,episodic_return,-57.42419911173335
6272,episodic_length,50.0
6323,episodic_return,-58.37267954759405
6323,episodic_length,50.0
6374,episodic_return,-64.64379153042852
6374,episodic_length,50.0
6425,episodic_return,-59.90528395145925
6425,episodic_length,50.0
6476,episodic_return,-63.41362274730366
6476,episodic_length,50.0
6527,episodic_return,-61.85246843155402
6527,episodic_length,50.0
6578,episodic_return,-60.30144567346263
6578,episodic_length,50.0
6629,episodic_return,-60.7656527963076
6629,episodic_length,50.0
6680,episodic_return,-55.006555998612825
6680,episodic_length,50.0
6731,episodic_return,-61.47956492162858
6731,episodic_length,50.0
6782,episodic_return,-54.91347977956801
6782,episodic_length,50.0
6833,episodic_return,-62.16685544321117
6833,episodic_length,50.0
6884,episodic_return,-60.11003626443392
6884,episodic_length,50.0
6935,episodic_return,-55.3578763365967
6935,episodic_length,50.0
6986,episodic_return,-55.20735270982601
6986,episodic_length,50.0
7037,episodic_return,-62.5849443810091
7037,episodic_length,50.0
7088,episodic_return,-56.90772315768953
7088,episodic_length,50.0
7139,episodic_return,-59.586533390109274
7139,episodic_length,50.0
7190,episodic_return,-65.53190501196485
7190,episodic_length,50.0
7241,episodic_return,-55.54096558132168
7241,episodic_length,50.0
7292,episodic_return,-62.29660153126485
7292,episodic_length,50.0
7343,episodic_return,-64.0032670154462
7343,episodic_length,50.0
7394,episodic_return,-58.59925831516149
7394,episodic_length,50.0
7445,episodic_return,-49.3560688994068
7445,episodic_length,50.0
7496,episodic_return,-62.356083974550636
7496,episodic_length,50.0
7547,episodic_return,-58.76159975246381
7547,episodic_length,50.0
7598,episodic_return,-59.66472968852628
7598,episodic_length,50.0
7649,episodic_return,-58.96275222218031
7649,episodic_length,50.0
7700,episodic_return,-59.766706318812126
7700,episodic_length,50.0
7751,episodic_return,-56.09959112652729
7751,episodic_length,50.0
7802,episodic_return,-54.94086784329615
7802,episodic_length,50.0
7853,episodic_return,-62.96631144568954
7853,episodic_length,50.0
7904,episodic_return,-61.94034836084978
7904,episodic_length,50.0
7955,episodic_return,-54.39414793577266
7955,episodic_length,50.0
8006,episodic_return,-58.192919693353815
8006,episodic_length,50.0
8057,episodic_return,-55.45441666287699
8057,episodic_length,50.0
8108,episodic_return,-55.72372062173317
8108,episodic_length,50.0
8159,episodic_return,-52.428566855591555
8159,episodic_length,50.0
8192,value_loss,0.5479437112808228
8192,policy_loss,-0.007078532129526138
8192,approx_kl,0.007170506753027439
8192,clipfrac,0.050439453125
8192,explained_variance,0.0065389275550842285
8192,sps,550.0
8210,episodic_return,-63.618374972808176
8210,episodic_length,50.0
8261,episodic_return,-57.14152406940223
8261,episodic_length,50.0
8312,episodic_return,-58.04461357907875
8312,episodic_length,50.0
8363,episodic_return,-56.44367430733273
8363,episodic_length,50.0
8414,episodic_return,-57.76753641949446
8414,episodic_length,50.0
8465,episodic_return,-59.57794843715657
8465,episodic_length,50.0
8516,episodic_return,-64.62785300941505
8516,episodic_length,50.0
8567,episodic_return,-56.376760910015605
8567,episodic_length,50.0
8618,episodic_return,-57.200345052606544
8618,episodic_length,50.0
8669,episodic_return,-56.8731819349409
8669,episodic_length,50.0
8720,episodic_return,-49.87030468715884
8720,episodic_length,50.0
8771,episodic_return,-66.20776476480955
8771,episodic_length,50.0
8822,episodic_return,-62.61252631947762
8822,episodic_length,50.0
8873,episodic_return,-65.75037133922875
8873,episodic_length,50.0
8924,episodic_return,-56.682676335307626
8924,episodic_length,50.0
8975,episodic_return,-53.33747447653732
8975,episodic_length,50.0
9026,episodic_return,-62.72713308932691
9026,episodic_length,50.0
9077,episodic_return,-57.56786497074487
9077,episodic_length,50.0
9128,episodic_return,-55.7991275574899
9128,episodic_length,50.0
9179,episodic_return,-54.897114477979535
9179,episodic_length,50.0
9230,episodic_return,-50.81866263266969
9230,episodic_length,50.0
9281,episodic_return,-55.72805810943097
9281,episodic_length,50.0
9332,episodic_return,-62.44647802765462
9332,episodic_length,50.0
9383,episodic_return,-54.946569590329474
9383,episodic_length,50.0
9434,episodic_return,-54.628232898496336
9434,episodic_length,50.0
9485,episodic_return,-61.785142342006935
9485,episodic_length,50.0
9536,episodic_return,-56.10694677014043
9536,episodic_length,50.0
9587,episodic_return,-49.38062939979112
9587,episodic_length,50.0
9638,episodic_return,-52.442471838555896
9638,episodic_length,50.0
9689,episodic_return,-50.16976727009854
9689,episodic_length,50.0
9740,episodic_return,-60.2476824159831
9740,episodic_length,50.0
9791,episodic_return,-64.69885153083726
9791,episodic_length,50.0
9842,episodic_return,-57.61629952055957
9842,episodic_length,50.0
9893,episodic_return,-60.35950527539302
9893,episodic_length,50.0
9944,episodic_return,-62.050807518916024
9944,episodic_length,50.0
9995,episodic_return,-61.19297751400643
9995,episodic_length,50.0
10046,episodic_return,-60.295766076837786
10046,episodic_length,50.0
10097,episodic_return,-59.803885068821536
10097,episodic_length,50.0
10148,episodic_return,-59.80265736087127
10148,episodic_length,50.0
10199,episodic_return,-62.165772452218754
