global_step,metric,value
50,episodic_return,-57.88201849747569
50,episodic_length,50.0
101,episodic_return,-57.9152307971223
101,episodic_length,50.0
152,episodic_return,-55.35468816429597
152,episodic_length,50.0
203,episodic_return,-55.32230662730296
203,episodic_length,50.0
254,episodic_return,-59.9231791381106
254,episodic_length,50.0
305,episodic_return,-58.91987339355243
305,episodic_length,50.0
356,episodic_return,-56.9603937780182
356,episodic_length,50.0
407,episodic_return,-60.99987710402453
407,episodic_length,50.0
458,episodic_return,-62.26306193744252
458,episodic_length,50.0
509,episodic_return,-63.41005684848895
509,episodic_length,50.0
560,episodic_return,-64.83578198545923
560,episodic_length,50.0
611,episodic_return,-54.7386812160514
611,episodic_length,50.0
662,episodic_return,-51.23046663538223
662,episodic_length,50.0
713,episodic_return,-60.44787330790832
713,episodic_length,50.0
764,episodic_return,-69.81871103480633
764,episodic_length,50.0
815,episodic_return,-51.93180786576274
815,episodic_length,50.0
866,episodic_return,-65.83035528659296
866,episodic_length,50.0
917,episodic_return,-65.0974596892459
917,episodic_length,50.0
968,episodic_return,-58.81985537266727
968,episodic_length,50.0
1019,episodic_return,-56.03130113726203
1019,episodic_length,50.0
1070,episodic_return,-60.587581620537655
1070,episodic_length,50.0
1121,episodic_return,-63.20827664437162
1121,episodic_length,50.0
1172,episodic_return,-56.921706967429735
1172,episodic_length,50.0
1223,episodic_return,-54.781774107373
1223,episodic_length,50.0
1274,episodic_return,-64.02120998190158
1274,episodic_length,50.0
1325,episodic_return,-65.06162886937133
1325,episodic_length,50.0
1376,episodic_return,-52.26523558934604
1376,episodic_length,50.0
1427,episodic_return,-60.51554333482062
1427,episodic_length,50.0
1478,episodic_return,-59.035008921797235
1478,episodic_length,50.0
1529,episodic_return,-56.218092275309864
1529,episodic_length,50.0
1580,episodic_return,-64.3844866043404
1580,episodic_length,50.0
1631,episodic_return,-62.952106784768674
1631,episodic_length,50.0
1682,episodic_return,-53.99515124984084
1682,episodic_length,50.0
1733,episodic_return,-62.454470949745186
1733,episodic_length,50.0
1784,episodic_return,-52.11079462757508
1784,episodic_length,50.0
1835,episodic_return,-59.13720147382472
1835,episodic_length,50.0
1886,episodic_return,-58.37013324488007
1886,episodic_length,50.0
1937,episodic_return,-68.4346756435794
1937,episodic_length,50.0
1988,episodic_return,-69.36595770925017
1988,episodic_length,50.0
2039,episodic_return,-64.33452008759821
2039,episodic_length,50.0
2048,value_loss,0.5692356824874878
2048,policy_loss,-0.028855545446276665
2048,approx_kl,0.004920361563563347
2048,clipfrac,0.034326171875
2048,explained_variance,-0.21072769165039062
2048,sps,556.0
2048,kl_beta,0.5
2090,episodic_return,-59.45315941144266
2090,episodic_length,50.0
2141,episodic_return,-63.94582462733501
2141,episodic_length,50.0
2192,episodic_return,-64.15088806153743
2192,episodic_length,50.0
2243,episodic_return,-63.44100322266703
2243,episodic_length,50.0
2294,episodic_return,-59.208765257398724
2294,episodic_length,50.0
