global_step,metric,value
50,episodic_return,-62.84887578343535
50,episodic_length,50.0
101,episodic_return,-56.31629523575738
101,episodic_length,50.0
152,episodic_return,-56.34500800240116
152,episodic_length,50.0
203,episodic_return,-62.23032077569314
203,episodic_length,50.0
254,episodic_return,-53.21194636664688
254,episodic_length,50.0
305,episodic_return,-63.95449615810433
305,episodic_length,50.0
356,episodic_return,-56.7759569033987
356,episodic_length,50.0
407,episodic_return,-58.628581730528786
407,episodic_length,50.0
458,episodic_return,-55.64411942112073
458,episodic_length,50.0
509,episodic_return,-72.37994134542501
509,episodic_length,50.0
560,episodic_return,-66.41310559302414
560,episodic_length,50.0
611,episodic_return,-52.9678265507007
611,episodic_length,50.0
662,episodic_return,-60.39365299832197
662,episodic_length,50.0
713,episodic_return,-55.717879031976665
713,episodic_length,50.0
764,episodic_return,-58.978551281047004
764,episodic_length,50.0
815,episodic_return,-64.01634888253236
815,episodic_length,50.0
866,episodic_return,-54.86005169437515
866,episodic_length,50.0
917,episodic_return,-58.931771268383734
917,episodic_length,50.0
968,episodic_return,-52.64969832361999
968,episodic_length,50.0
1019,episodic_return,-54.293157699976376
1019,episodic_length,50.0
1070,episodic_return,-59.5642297383269
1070,episodic_length,50.0
1121,episodic_return,-63.82536171718538
1121,episodic_length,50.0
1172,episodic_return,-58.28311887298534
1172,episodic_length,50.0
1223,episodic_return,-64.92766564668591
1223,episodic_length,50.0
1274,episodic_return,-59.65720826031486
1274,episodic_length,50.0
1325,episodic_return,-56.00025499060825
1325,episodic_length,50.0
1376,episodic_return,-61.26256815023828
1376,episodic_length,50.0
1427,episodic_return,-65.21646342671033
1427,episodic_length,50.0
1478,episodic_return,-64.88340257307043
1478,episodic_length,50.0
1529,episodic_return,-60.90707977723299
1529,episodic_length,50.0
1580,episodic_return,-60.12586509823797
1580,episodic_length,50.0
1631,episodic_return,-60.79920123747801
1631,episodic_length,50.0
1682,episodic_return,-56.00852336768068
1682,episodic_length,50.0
1733,episodic_return,-66.33118846804757
1733,episodic_length,50.0
1784,episodic_return,-54.220662266698284
1784,episodic_length,50.0
1835,episodic_return,-67.37640547172131
1835,episodic_length,50.0
1886,episodic_return,-68.26444235912808
1886,episodic_length,50.0
1937,episodic_return,-66.69430571128358
1937,episodic_length,50.0
1988,episodic_return,-53.11896507088578
1988,episodic_length,50.0
2039,episodic_return,-44.9185942315279
2039,episodic_length,50.0
2048,value_loss,0.2482755184173584
2048,policy_loss,-0.15101957321166992
2048,approx_kl,0.23873592913150787
2048,clipfrac,0.284716796875
2048,explained_variance,-0.37378060817718506
2048,sps,489.0
2090,episodic_return,-60.33961838367589
2090,episodic_length,50.0
2141,episodic_return,-65.15190273345375
2141,episodic_length,50.0
2192,episodic_return,-69.97295760008295
2192,episodic_length,50.0
2243,episodic_return,-61.10742199738352
2243,episodic_length,50.0
2294,episodic_return,-52.5590042429408
2294,episodic_length,50.0
2345,episodic_return,-52.21543866255562
2345,episodic_length,50.0
2396,episodic_return,-56.161796381452106
2396,episodic_length,50.0
2447,episodic_return,-60.41273336830192
2447,episodic_length,50.0
2498,episodic_return,-63.756375738963385
2498,episodic_length,50.0
2549,episodic_return,-58.86655621653588
2549,episodic_length,50.0
2600,episodic_return,-64.67694727182449
2600,episodic_length,50.0
2651,episodic_return,-66.9595625748718
2651,episodic_length,50.0
2702,episodic_return,-68.03014253640012
2702,episodic_length,50.0
2753,episodic_return,-67.48790553494756
2753,episodic_length,50.0
2804,episodic_return,-65.83148883526243
2804,episodic_length,50.0
2855,episodic_return,-60.23321733748522
2855,episodic_length,50.0
2906,episodic_return,-68.38933388886896
2906,episodic_length,50.0
2957,episodic_return,-63.15959675840086
2957,episodic_length,50.0
3008,episodic_return,-64.88701025917157
3008,episodic_length,50.0
3059,episodic_return,-62.073004622805925
3059,episodic_length,50.0
3110,episodic_return,-71.56440824913092
3110,episodic_length,50.0
3161,episodic_return,-72.99155340016608
3161,episodic_length,50.0
3212,episodic_return,-63.757072021739404
3212,episodic_length,50.0
3263,episodic_return,-63.055853877463285
3263,episodic_length,50.0
3314,episodic_return,-68.86669729028624
3314,episodic_length,50.0
3365,episodic_return,-67.12767504315421
3365,episodic_length,50.0
3416,episodic_return,-67.17848159176886
3416,episodic_length,50.0
3467,episodic_return,-53.8914204733123
3467,episodic_length,50.0
3518,episodic_return,-62.740072816852475
3518,episodic_length,50.0
3569,episodic_return,-67.08196914248596
3569,episodic_length,50.0
3620,episodic_return,-57.79842989743753
3620,episodic_length,50.0
3671,episodic_return,-61.30984116193612
3671,episodic_length,50.0
3722,episodic_return,-62.90985742978286
3722,episodic_length,50.0
3773,episodic_return,-51.404589728723685
3773,episodic_length,50.0
3824,episodic_return,-62.61430592046499
3824,episodic_length,50.0
3875,episodic_return,-58.702297384389574
3875,episodic_length,50.0
3926,episodic_return,-61.768404657328425
3926,episodic_length,50.0
3977,episodic_return,-58.244772956091815
3977,episodic_length,50.0
4028,episodic_return,-57.82533026292779
4028,episodic_length,50.0
4079,episodic_return,-65.11606052805915
4079,episodic_length,50.0
4096,value_loss,0.2792709469795227
4096,policy_loss,-0.009603559970855713
4096,approx_kl,0.1549953669309616
4096,clipfrac,0.2841796875
4096,explained_variance,-0.2872053384780884
4096,sps,560.0
4130,episodic_return,-63.37777281747869
4130,episodic_length,50.0
4181,episodic_return,-66.06405109968212
4181,episodic_length,50.0
4232,episodic_return,-64.15223684790926
4232,episodic_length,50.0
4283,episodic_return,-69.6978287613722
4283,episodic_length,50.0
4334,episodic_return,-62.915365660019866
4334,episodic_length,50.0
4385,episodic_return,-67.70808378238893
4385,episodic_length,50.0
4436,episodic_return,-67.11132616753581
4436,episodic_length,50.0
4487,episodic_return,-63.24988618388718
4487,episodic_length,50.0
4538,episodic_return,-58.20270134336262
4538,episodic_length,50.0
4589,episodic_return,-64.88036004818179
4589,episodic_length,50.0
4640,episodic_return,-60.70314740438992
4640,episodic_length,50.0
4691,episodic_return,-65.96683133687193
4691,episodic_length,50.0
4742,episodic_return,-62.585638745109016
4742,episodic_length,50.0
4793,episodic_return,-64.22094286369425
4793,episodic_length,50.0
4844,episodic_return,-62.830299918233294
4844,episodic_length,50.0
4895,episodic_return,-55.11370622656579
4895,episodic_length,50.0
4946,episodic_return,-61.4082199634833
4946,episodic_length,50.0
4997,episodic_return,-62.20846953492992
4997,episodic_length,50.0
5048,episodic_return,-71.96649112507279
5048,episodic_length,50.0
5099,episodic_return,-70.9347613429823
5099,episodic_length,50.0
5150,episodic_return,-62.98594230811278
5150,episodic_length,50.0
5201,episodic_return,-66.74000137789949
5201,episodic_length,50.0
5252,episodic_return,-60.82381459993122
5252,episodic_length,50.0
5303,episodic_return,-64.63668171905498
5303,episodic_length,50.0
5354,episodic_return,-68.86755301046192
5354,episodic_length,50.0
5405,episodic_return,-69.27373894837534
5405,episodic_length,50.0
5456,episodic_return,-72.85271494612319
5456,episodic_length,50.0
5507,episodic_return,-61.074431596260844
5507,episodic_length,50.0
5558,episodic_return,-63.09516014623933
5558,episodic_length,50.0
5609,episodic_return,-63.20103197936073
5609,episodic_length,50.0
5660,episodic_return,-66.8438416504841
5660,episodic_length,50.0
5711,episodic_return,-53.31205503266507
5711,episodic_length,50.0
5762,episodic_return,-61.60591651370667
5762,episodic_length,50.0
5813,episodic_return,-57.21266100467344
5813,episodic_length,50.0
5864,episodic_return,-64.8529729266143
5864,episodic_length,50.0
5915,episodic_return,-66.27415010105967
5915,episodic_length,50.0
5966,episodic_return,-63.78399074360526
5966,episodic_length,50.0
6017,episodic_return,-66.2053678880966
6017,episodic_length,50.0
6068,episodic_return,-68.30552776500977
6068,episodic_length,50.0
6119,episodic_return,-56.49444196201083
6119,episodic_length,50.0
6144,value_loss,0.3431246876716614
6144,policy_loss,-0.018332630395889282
6144,approx_kl,0.1469758301973343
6144,clipfrac,0.371484375
6144,explained_variance,-0.3797394037246704
6144,sps,579.0
6170,episodic_return,-61.0711559696901
6170,episodic_length,50.0
6221,episodic_return,-56.681058029857894
6221,episodic_length,50.0
6272,episodic_return,-62.032418295114745
6272,episodic_length,50.0
6323,episodic_return,-58.51228327410262
6323,episodic_length,50.0
6374,episodic_return,-63.6380327155062
6374,episodic_length,50.0
6425,episodic_return,-61.63073911534017
6425,episodic_length,50.0
6476,episodic_return,-60.38603418418795
6476,episodic_length,50.0
6527,episodic_return,-62.51949143526707
6527,episodic_length,50.0
6578,episodic_return,-61.86997193660998
6578,episodic_length,50.0
6629,episodic_return,-67.591383442072
6629,episodic_length,50.0
6680,episodic_return,-52.506487368932255
6680,episodic_length,50.0
6731,episodic_return,-63.225918751978085
6731,episodic_length,50.0
6782,episodic_return,-55.85494966364431
6782,episodic_length,50.0
6833,episodic_return,-60.27794439316953
6833,episodic_length,50.0
6884,episodic_return,-58.14477296255937
6884,episodic_length,50.0
6935,episodic_return,-53.94413450998106
6935,episodic_length,50.0
6986,episodic_return,-51.417504188173794
6986,episodic_length,50.0
7037,episodic_return,-63.02392349260633
7037,episodic_length,50.0
7088,episodic_return,-56.63710181667548
7088,episodic_length,50.0
7139,episodic_return,-59.69220453845324
7139,episodic_length,50.0
7190,episodic_return,-67.07007610285702
7190,episodic_length,50.0
7241,episodic_return,-57.92369100149344
7241,episodic_length,50.0
7292,episodic_return,-58.528789939534725
7292,episodic_length,50.0
7343,episodic_return,-64.26245023065857
7343,episodic_length,50.0
7394,episodic_return,-55.25089580227687
7394,episodic_length,50.0
7445,episodic_return,-53.70067486878421
7445,episodic_length,50.0
7496,episodic_return,-61.30271072767579
7496,episodic_length,50.0
7547,episodic_return,-55.40552179910123
7547,episodic_length,50.0
7598,episodic_return,-58.27899305193824
7598,episodic_length,50.0
7649,episodic_return,-55.63460577648881
7649,episodic_length,50.0
7700,episodic_return,-61.37907152453298
7700,episodic_length,50.0
7751,episodic_return,-61.17739576094755
7751,episodic_length,50.0
7802,episodic_return,-61.82312904690731
7802,episodic_length,50.0
7853,episodic_return,-67.90377366645112
7853,episodic_length,50.0
7904,episodic_return,-61.431653866144664
7904,episodic_length,50.0
7955,episodic_return,-56.11133383015349
7955,episodic_length,50.0
8006,episodic_return,-51.555914230445595
8006,episodic_length,50.0
8057,episodic_return,-55.954456920795685
8057,episodic_length,50.0
8108,episodic_return,-59.599571101728735
8108,episodic_length,50.0
8159,episodic_return,-54.78736709369108
8159,episodic_length,50.0
8192,value_loss,0.39682629704475403
8192,policy_loss,-0.08861380815505981
8192,approx_kl,0.12372587621212006
8192,clipfrac,0.258984375
8192,explained_variance,-0.12349951267242432
8192,sps,594.0
8210,episodic_return,-61.41900370868227
8210,episodic_length,50.0
8261,episodic_return,-58.50791312101482
8261,episodic_length,50.0
8312,episodic_return,-55.576256673290274
8312,episodic_length,50.0
8363,episodic_return,-61.11951816880922
8363,episodic_length,50.0
8414,episodic_return,-57.392501010854325
8414,episodic_length,50.0
8465,episodic_return,-51.733590498587866
8465,episodic_length,50.0
8516,episodic_return,-61.28671603957859
8516,episodic_length,50.0
8567,episodic_return,-60.69717835669625
8567,episodic_length,50.0
8618,episodic_return,-57.019557186642224
8618,episodic_length,50.0
8669,episodic_return,-49.14096693658158
8669,episodic_length,50.0
8720,episodic_return,-52.529839745018066
8720,episodic_length,50.0
8771,episodic_return,-64.98730816507805
8771,episodic_length,50.0
8822,episodic_return,-63.24059048496921
8822,episodic_length,50.0
8873,episodic_return,-69.2659269580281
8873,episodic_length,50.0
8924,episodic_return,-61.495808252334356
8924,episodic_length,50.0
8975,episodic_return,-56.69786575296518
8975,episodic_length,50.0
9026,episodic_return,-66.92865700268364
9026,episodic_length,50.0
9077,episodic_return,-61.35094353472566
9077,episodic_length,50.0
9128,episodic_return,-60.78288133778695
9128,episodic_length,50.0
9179,episodic_return,-60.776433522881746
9179,episodic_length,50.0
9230,episodic_return,-57.0184253744619
9230,episodic_length,50.0
9281,episodic_return,-52.84308374234463
9281,episodic_length,50.0
9332,episodic_return,-64.26552709195506
9332,episodic_length,50.0
9383,episodic_return,-58.04496098818279
9383,episodic_length,50.0
9434,episodic_return,-58.46743719099939
9434,episodic_length,50.0
9485,episodic_return,-64.74905063830678
9485,episodic_length,50.0
9536,episodic_return,-61.028370650540175
9536,episodic_length,50.0
9587,episodic_return,-52.88364114555746
9587,episodic_length,50.0
9638,episodic_return,-57.4371112546276
9638,episodic_length,50.0
9689,episodic_return,-56.66232519743916
9689,episodic_length,50.0
9740,episodic_return,-63.427033451638565
9740,episodic_length,50.0
9791,episodic_return,-71.03557795762451
9791,episodic_length,50.0
9842,episodic_return,-55.292686685559936
9842,episodic_length,50.0
9893,episodic_return,-63.35040834316268
9893,episodic_length,50.0
9944,episodic_return,-65.23813865955195
9944,episodic_length,50.0
9995,episodic_return,-59.54035530773011
9995,episodic_length,50.0
10046,episodic_return,-61.73873603827535
10046,episodic_length,50.0
10097,episodic_return,-60.28000025667053
10097,episodic_length,50.0
10148,episodic_return,-61.069002037396
10148,episodic_length,50.0
10199,episodic_return,-58.51865094713341
