global_step,metric,value
15,episodic_return,-5.979920561360585
15,episodic_length,15.0
25,episodic_return,-6.939406910022717
25,episodic_length,9.0
43,episodic_return,3.8613235593614244
43,episodic_length,17.0
70,episodic_return,-8.62612722080165
70,episodic_length,26.0
100,episodic_return,1.6577023889094435
100,episodic_length,29.0
113,episodic_return,-0.47550109728918843
113,episodic_length,12.0
134,episodic_return,-2.818032381856799
134,episodic_length,20.0
162,episodic_return,-5.339633812315519
162,episodic_length,27.0
174,episodic_return,-2.097384781274916
174,episodic_length,11.0
187,episodic_return,-5.4268246112512175
187,episodic_length,12.0
217,episodic_return,3.97537153004102
217,episodic_length,29.0
230,episodic_return,-2.1273589063873533
230,episodic_length,12.0
238,episodic_return,-3.2827922916084495
238,episodic_length,7.0
250,episodic_return,-1.0122300721438302
250,episodic_length,11.0
270,episodic_return,-3.024914040705256
270,episodic_length,19.0
295,episodic_return,-0.6775670626872448
295,episodic_length,24.0
318,episodic_return,-3.7469908311651516
318,episodic_length,22.0
334,episodic_return,-2.81800178411087
334,episodic_length,15.0
365,episodic_return,1.8941076201951383
365,episodic_length,30.0
385,episodic_return,-5.697778347175138
385,episodic_length,19.0
402,episodic_return,-0.21270503543075714
402,episodic_length,16.0
424,episodic_return,1.876010242677853
424,episodic_length,21.0
470,episodic_return,27.234360439427537
470,episodic_length,45.0
490,episodic_return,-8.769544869368056
490,episodic_length,19.0
512,episodic_return,2.3892991189356065
512,episodic_length,21.0
527,episodic_return,1.184799361906689
527,episodic_length,14.0
536,episodic_return,-4.1720266729887605
536,episodic_length,8.0
552,episodic_return,0.8018330947037506
552,episodic_length,15.0
577,episodic_return,-2.2270912888009713
577,episodic_length,24.0
594,episodic_return,0.6739839221703725
594,episodic_length,16.0
622,episodic_return,-3.270509094579117
622,episodic_length,27.0
651,episodic_return,-3.6199427296158433
651,episodic_length,28.0
668,episodic_return,-2.266422998439594
668,episodic_length,16.0
687,episodic_return,3.244098145646695
687,episodic_length,18.0
696,episodic_return,-4.430239848419649
696,episodic_length,8.0
711,episodic_return,2.4466458688162414
711,episodic_length,14.0
736,episodic_return,-6.089954571169722
736,episodic_length,24.0
750,episodic_return,-0.5845430983413584
750,episodic_length,13.0
770,episodic_return,3.7657647445653435
770,episodic_length,19.0
812,episodic_return,14.880211022419019
812,episodic_length,41.0
824,episodic_return,-0.8457671047866313
824,episodic_length,11.0
849,episodic_return,-6.6295291523362625
849,episodic_length,24.0
870,episodic_return,5.419943304665918
870,episodic_length,20.0
904,episodic_return,2.360185913787355
904,episodic_length,33.0
912,episodic_return,-6.1167231960606046
912,episodic_length,7.0
939,episodic_return,0.6602518901904769
939,episodic_length,26.0
953,episodic_return,-0.18500029752068087
953,episodic_length,13.0
965,episodic_return,-4.034114912879051
965,episodic_length,11.0
977,episodic_return,-0.0834362009981171
977,episodic_length,11.0
1004,episodic_return,-5.5107765716556205
1004,episodic_length,26.0
1021,episodic_return,-0.4517812429929895
1021,episodic_length,16.0
1039,episodic_return,-10.076913941794851
1039,episodic_length,17.0
1058,episodic_return,0.7466009067987159
1058,episodic_length,18.0
1074,episodic_return,-4.123760299015893
1074,episodic_length,15.0
1093,episodic_return,0.6766351313993602
1093,episodic_length,18.0
1102,episodic_return,-5.91449281509736
1102,episodic_length,8.0
1114,episodic_return,-0.21370212939098598
1114,episodic_length,11.0
1124,episodic_return,-4.1559410359943865
1124,episodic_length,9.0
1135,episodic_return,-5.745692560293471
1135,episodic_length,10.0
1171,episodic_return,6.113343927107255
1171,episodic_length,35.0
1201,episodic_return,9.960649487996447
1201,episodic_length,29.0
1225,episodic_return,-3.6042958047944893
1225,episodic_length,23.0
1241,episodic_return,-5.199980231804555
1241,episodic_length,15.0
1253,episodic_return,-1.0035224275012202
1253,episodic_length,11.0
1267,episodic_return,-2.6188608843779986
1267,episodic_length,13.0
1319,episodic_return,16.57096069499638
1319,episodic_length,51.0
1338,episodic_return,4.47372720405104
1338,episodic_length,18.0
1359,episodic_return,1.9569693213807198
1359,episodic_length,20.0
1381,episodic_return,7.989840719372081
1381,episodic_length,21.0
1398,episodic_return,3.964166804748938
1398,episodic_length,16.0
